Human Being	Frick off
Josh Egli	This replay system is going to be game changing. Thank you for giving us this gift Jeff and the rest of the team, I'm extremely excited!
CamTheKitty	It is a bit strange that the tone deaf and miniscule Mercy buff had "but this may not stay" added onto it
BaM_BaM1125	As a spray hunter/Moira main, why not NERF the requirements to obtain her cute spray??? I’m sure no one else probably feels this way, but 40+ hours of play and still no cute spray, it’s getting a little annoying imho.
Badger McWaffles	These are great. Cant wait to test it out as well as ty for letting us know not to get "too" hyped for a map or such just yet. Cant wait!
Kibeth	I hope it's a complete rework of Valkyrie, because in its current state it's one of the most brain-dead boring ults in the game
musty	GIMME THAT REAPER BUFF
Lazy Unicorn	MERCY YES MERCY AAAAAAHHHHH
Hobi's Jams	Cheers jeff
Daniel Martínez	Keff Japlan
Yo Lulu	2:40 ( ͡° ͜ʖ ͡°)
Diego T. Yamaguchi	delette brigette
Jason Calderon	Rhe new hero in overwatch is NINOOOOOOO
DarKNesss	finally spectator system has been implanted it's a system i'm really need for long time finally i can watch my favorite player in their perspective. speaking of which by watching from in-game does this mean we have option to turn off custom colors ? that we would always usually see ? like i'm cool with their costume that representing their country and color outline for separate both team  but smoking from gun or explosion and effect color and mercy healing beam or damage buff beam changes are too much  (at least those 2 things are what i can't tell difference without paying attention)
Ian Rundell	Reaper buff 😛🤩😈😈
NooberNerd	Who ASKING for this OWWC Feature? Pros, Esports Fans. It's clear now that these game will focus Esport rather than lore and QoL for all player. Feature for a small group players, bad decision again.
Santiago Legro Zapata	Buffgenji
Quincy Walls	Cool 👍💖🎮
Mexican Who Can't Speak Spanish	Delete Brigitte
Karim Hussein	Call of duty done this in bo1/mw3. How hard can it be. I mean I’m no game designer so I don’t know but it’s been done already. Years ago
王翰儒	Thank you Jeff. Thank you life. Thank you world. I'm so happy right now…
abubakr hartley	From hooking you from another dimension to dislodging the hook from someone directly in front of you, pls pls fix this hero.
rubens renan	FIX REINHARDT!!
Captain Salty	Cleaning up the Numbani Airport when?
Ethan Tapscott	Can we just see what happened after Winston called Tracer and got Overwatch back together
xpia626x Or Nadia	MERCY!?!?! THE DYA HAS FINALLY COME
Tylea Thompson	YES A MERCY BUFF!!! FINALLY!!!
UlrichVIII	will the viewer system have a global chat or something? :)
Jihaad Andrew	mercy will now jump to the sky when activating valkyrie like pharahs rocket jump and start her AoE healing there.
Susan131415	I don't believe this update. He didn't say who he was. Fake News.
lostin spayce	Can I please get a quick summary of the videos plz
Synobles	Why tf is sym getting a buff? She's t an ok state and now this will encourage more people to play symmetra
Σριlερτιc	Yes omfg MERCYYYYYY!!!!
Sombar D.	BUT HE NEVER SAID THAT THEY WERE NOT GOING TO ANNOUNCE A NEW HERO!!!!!!!!
super koopa 64	Look for sombra clues guys
m a r l e y a. l.	Okay but, when will Sombra be released
Eric Miksanek	Don’t want to watch other people play. Who fkn cares?!?!
😐	Me A Sym/Mercy Main: OMG they finally buffed both Sym and mercy they must’ve listened to the feedback! Oh wait the buffs are legit nothing.  Mercy is still an off healer. Sym is still a borderline throw pick 90% of the time.
Max Hyunsue	Lol pay attention to your game, not just the overwatch league.
Winston Master	It would be nice if overwatch actually listened to community and added more gameplay elements like maps and heroes and more LORE instead of useless social instruments and replay systems lmao
MickeyBoi	Ffs plz nerf Brigitte
CheflucasApple	So another thing console won't get until way after pc players
Zantagaru	A NEW MERCY BUFF, WHAT IS THIS SORCERY
P I X E L S	For the love of god don't buff symmetra
Mr. Man	He does'nt say this is jeft from overwatch
Steven Bohorquez	Yes thank god reaper buff
Muneeb Mashadi	Mercy buff!!! And REAPER BUFF OMG!!
Yair E.	Come on, I miss my main Mercy
K__T__	Since you can make different versions of overwatch, can you make one without brig or doom pls n thx smile
rezanators	Bring back terbjern armor pack and make it temporarily CC immune k thanks
JonnyB	Mercy buffs. Mercy buffs. Mercy buffs thank you lort
mas8705	If we were to get two heroes at Blizzcon, I think players will be ok about no map announcements
Potart	Just give us Swordsman Genji.
SON GOKU	Buff on reaper noooooo he is already op 😫
_ThattGuyyAce_	so we still arent discussing doomfist and sombra nerfs? feels life man -_-
WTF !	Uhg I have  to get used to another Symmetra update  (╥_╥)
Richard Ordaya	Is there any type of pro scene for console players? I know they arent as good as PC but they should be given a chance to show off their skill. Some console players have a dream of becoming pro without a PC.
Jazzy Cat	Jeff, babe, instead of some new maps, ima ask if we could have a *spicy* hot torbjorn bikini skin
Natalie Ward	just @ stylosa next time lmao
Automatic Power	No new contents 👎🏼
Luis Diaz	Yes Jeff a sym buff is what we need, they’re constantly making this game worse dude I’m just gonna quit this game. They just keep making the game worse and worse to play
Avensol	2:40 I sure hope Dinoflask catches onto that hand gesture
Nicholas Pentowski	"Were buffing mercy" explain this atheists
Zander q	how cool would it be if like special items dropped while the live game is going on...like csgo how they would drop the souvenir crates maybe it could drop a special world cup skin or loot box or maybe a 2x xp for a hour or something think it would be awesome
jkSam	jeff the best game dev
Ahmed Adel	another dev effort on e-sports! ... Wake-up the game-play is now awful and generally the game is dying fast
Eamon Bolger	Gee Jeff thanks for this new feature that is totally useless ur the greatest!
Wolf 612	Did he just say “buff” and “Mercy” in the same sentence
ARMY	Two heroes instead of a new map?
Maoh	Mercy boofs: "Valkyrie's move speed increases by 3%, to balance it out her healing is going to be reduced by 50%"
Dolan Darkestest	our god has spoken
Sakru100	Wow that is awesome!
mSaOW	This is awesome!!
Lunanana Sparks	Bring on new content. Game feels stale
Ethan Agustin	-What’s up guys this is Jeff from the overwatch team- *Welcome everyone to today’s developer update*
Nathan Burnett	Next map better have a teleporter or destroyable terrain.
Niko Ilyushenko	Lego overwatch
Isaac Elias	Cool I can actually heal for 15 seconds at a time in my matches now...
Calebasouras  Caleb	Mercy gets a buff my heart me heart I’ve never been so revived
Gothic 83	Jeff i think you ment to say nerf to mercy because you want no one to play as her ever #mercy1.0
Scribs	*Cough cough* GOTV! *cough cough*
Daniel Gomez	if you want to skip around on topics on this short 8 minute video: - 0:18 : Overwatch World Cup Viewer (also kinda the replay system) - 4:30 : No new map announced at BlizzCon (sorry bois) - 6:05 : Talk of Balance changes <really a buff to Valk? Where are the other 10 kits you said you had, Id love to try them out on ptr, you dont have to put those kits through to live just let us try them :( >  - 7:20 : Thank you & recap thing
dale515100	OWl Wiil be the death of overwatch...
Mac Gaulin	You should add the World Cup Viewer to Google's Project Stream so I can watch via client from Chrome at work. I mean at a coffee shop. Not at work.
CFxRenaissance	Junk Queen confirmed?!?
Hill	lol match demo has been in valve games since 2000. This should have been added in day one
PelleStrandberg	well thats great for the 5 people that watches OW esports.
Ickabodxx	I kept waiting for him to say that we'll be able to gamble on matches through the World Cup Viewer.
Casey Rhodes	POG
Angel Ramirez	Did I just hear "Mercy buff"? Wow that's thing I never heard in awhile
Alvaro Calix	PC players getting better stuff? Wow I'm shocked
ScoRae	buffed reaper is just gonna make it even worse to be a monkey main :(
Pujan P	Console players DIPPED after 1:05 LUL
santa narni	They're gonna buff her to nerf her again anyway
Tacheon	let's not buff reaper nor symmtra
Sarphee	Why are you buffing Mercy
Severy	Bring back hook 1.0 !!!  Then we talk about balance for hog again
LudicrousGamer2006	Can you fix the console scroll glitch plz like if you agree
Pastellerie	Mercy buff? Only on her ult... Jeff we're dying help us mercy players
Wrong meme	You look to young Grow that beard back
Simon The BOIII	1.25x. You're welcome.
squirrel rider	Wow?😀
Steven Jones	That's pretty cool tbh
NovaGN	Owl and World Cup zzzz
CuppaTea101	Mercy blaster should have onhit effects. just saying.
AKIRA SAKUYA	According to your terrible tech team, this new feature means more stupid bug and more pause during a game.
passpace10	Overwatch fell off
McKaitlyn Cha	Just give us the Queen already. Give us the EXPANSION too. You know you want to.
Vidya Channel	YEEEEES FINALLY A MERCY BUFF!!!!!
t3hWheez	This is a massive game changer for eSports.  A literal YUGE competitive advantage over other games.
Carter Myer	Leave Mercy Alone
MusicMemer	Sym buff? Are you serious? Are you bidding fking bastion next so he can move while in turret form?
nova gaming 145	Poppy Jeff
Colorless	Mercy revert or rework soon? Plz?
MrRedberet	Mercy's getting a buff!?!? Is this a Halloween miracle??? D:
sunstonegamer	Aaayyy now i can watch australia get destroyed by south korea from every angle :)
Keelin M	Theater mode in overwatch would be so useful in many different ways like coaching people and seeing your game for mistakes or just exploring the maps further
Tijuanaparte	Mercy will get a buff? Is this Jeff from the Overwatch team????
Bandy Popen	Overwatch is awesome
Raiden x3	Just nerf Pharah
Triskan	Holy sh... that's everything I've been asking to follow the matches the way they should be watched !
Joel Cespedes	So really. Just 85% OWL and social changes. Overwatch is slowly turning into money instead of content. Basically, the event this year was skins a new map change, super small changes and that's it. Not even a comic. I'm sorry but if Overwatch keeps going like this I'm going to stop playing it. They're starting to care less about content, and more on OWL.  Just my opinion, they're getting lazy on content.
Nihilstsauce	I really hope this is integrated into owl season 2
Josiah Fincham	Galaxy mega brain viewer.
Paul Kim	Ah i see, still no role queue or map pool. Cool.
Ari	2:41 Oh no. Jeff what have you done? What are you doing with your hand? Dinoflask, have mercy on Jeff, please!
Tanguy Aerts	hopefully you won't paywall the owwc viewer....
Zarguz Hedwaka	Please rework briggite so the game is fun again
Cesar Gonzalez	Get on fortnite
MagCynic	Yes!  Yes!  Yes!  Yes on the OWC/OWL  viewer.  I was begging for this last season.
Jack	Expect patches for ...... and mercy.   Noooooooooooooooo
JFn Cho	drink every time he says "watch"
Nick Landers	“We have a buff for Mercy’s Valkyrie. We are playing around with how it works”  Community: “meRcY iS wAaAaAy ToO oP!”  “We have decided to nerf mercy because the players are complete morons and can’t figure out how to kill supports during a fight  Also, we’ve decided to give Reaper the ability to one shot every hero in the game. We know he’s not strong enough, so we’re really happy with his new changes”
MobNic Gaming	The spectator mode should be part of the OWL as well
MultiBLC	thats stupid and why i dont play it anymore (im a console player)
snaggiz	He blinks like.. a lot.
Blackram Art	My fav symmetra is getting buff yeah
Brett Wilkins	Mercy bufff!!! So excited!
DaRkHunTer0125	Are we getting a shotgun character, Jeff? I mean like a real classic FPS shotgun?! Pump-Action! Maybe they pull out a double barrel super shotty for their ultimate? I can dream.
Imagine Dragonites	DONT BUFF MERCY PLEASE!
Jaimie	Coaching the many got a buff bois
Day Drunk	Mercy and symmetra buffs 🙌🏻🙏🏻💅🏻💃🏻🤗
Hello Johnny	Okay but plz just get rid of valk its not a good ult
billdolphin2316	Adding theater mode from halo to overwatch league. Aight
Noristar	Please I miss Mercy so much. ;w;
Brandon Kleyling	C’mon man, where’s the Heavy update? Scream Fortress 2018 doesn’t add a whole lot, and we haven’t gotten much since Jungle Inferno.
LucioOh5	Hopefully D.mon will be a playable hero soon.
Mitchell l	I LOVE JEFF!
Mercy Main B Like	THANK YOU MY LORD AND SAVIOR JEFF FOR BUFFING MERCY
Cal Erba	Symmetra needs to be nerfed not buffed...her turrets are too strong, whether you drop the damage they do or their health, 1 of those things needs to drop....
Andrew Beck	Turn up Mercy overall healing by 5 hps?
Mantol	Doesnt Kaplan look like Jeff Goldblum
KirbZ	Did i just hear reaper buff?.. As a reaper main thats all i needed to hear 😂
GoldenSlowbro	My girls are finally getting fixed!!!
Leonardo Urr	Isn't EVERYTHING for PC #saveconsolelives
V01d5t0rm 2003	ALL HAIL JEFF! ALL HAIL JEFF! ALL HAIL JEFF!
Ian Shaw	so no hero 29 just yet? thats okay,  but i really wish its someone new to the lore of overwatch instead of junker queen.
Drew Carney	Finally!!! I've been waiting for this new view for ages
Nadine Smith	fingers crossed for hero 29
TH00PERMAN onXBL	Can we watch from *2nd person?*
CMG	Overwatch League next year is going to be interesting indeed ....
zachandbro	That is a great way to change perspectives without being constricted
3lit3gn0m3	Nice, sounds like a tough system to implement.   Not to detract from it....but please fix the daily arcade slot. It barely runs half the available modes, and really doesn't seem 'arcadey' at all. As a kid, the arcade meant variety, and while I understand not having ALL modes 24/7, right now the variance is extremely minimal.   For example, having 2 event modes and the other 3 ALL being 'mystery ______.' It tells me that Blizzard is more concerned with 'popular' modes for all slots than giving niche 'fun' modes more chances....like 6v6 elim. 1v1 duels pop up a lot, or even too much at times.   I've been asking about this for months, and honestly don't think I should expect anything.   :(
Kaleb cline	Omg this sounds amazing. I’d love to just watch the players I love
Fowl	I'm really hyped and gratefull for the review system! But lets please not forget about brig being *still* far too powerfull. While the changes to the supports and dps have been great so far, brig needs to be addressed for there to be a decent balance between all roles.
Lukas Senesac	Hey Jeff! Why don't you use your resources to give EVERYONE a replay for their own matches...what a waste...
chillywilly1321	Replay is great Jeff, but where’s the Lore?!
skArpPT	This game is dead, please delete it.
FadiCrafter	I can’t wait for stylossa to talk about the same thing except the video will be twice as long as this one.
TwinkleToes	Holy Guacamole this sounds great!
Shadowgalaxy	sty must be WOKE
ZenGotBars	THEATER MODE 2.0!               Time to study JJoNaK!
Bubba Falcon	Am I in the minority that reaper doesn't need a buff
Comrade Dan	More tedious world-cup bloat. You're letting your game get away from you.
Cole.Finnegan	So is anyone not being able to join teams in quick play and arcade ?
Jose Aguilar	You guys should make a hero that is made or shots fire as a counterpart to mei and is inspired from Diablo or something it could be really cool
Degrees 7	AMAZING! Im a main tank and normally in streams they don't focus too much on tanks. Now I will be able to understand what pro's do
RPenguin ;w;	MERCY BUFF
Zeo988777	Reaper buffs? Reaper? Buffs? There is a god!
Soup Or Man	Will there be an option to enable the shout casters and commentators as I still want to hear them, even though I want to view the match from the battle.net client from my own ‘camera’
badassnewbie	plz no dont buff symm, she's the most annoying character to play against
TerminatorTay	Jeff- "balance changes.."... Me- OKay so another Mercy Nerf.... Jeff-" buffs to...and Mercy"...... *calls 911 to pick me up off the floor*
Coucou OW	Nerf doomfist and brigitte already.. Overwatch developers only care about esports not the balance of the game and the community's feedback.. it's so sad
Slips	I have never heard of GOTV or csgo before, no idea what that is
John Williams	The buff to nurfcy should just take away her healing staff.
UNLISTEDGHOST	...kill mercy
Wolfgang Widhalm	Sym needs a nerf, she is in almost all quick play and low rank games and it is not fun to play against
Code EDM	well, replay system basically confirmed as upcoming social feature.....
Qrow Let's Plays	sure there is not going to be an new map i get you jeff.
sergioygkeke	hi jeff.  please confirm   from the case of  market history of ....    Nox and Diablo 2 .  ur sincerely.
Where is lamp	Just wait theres another Mercy nerf   this. is. a. joke.
george brownsea	Bet Brigitte wont be fixed
Ra Canum	This is gunna be so poggers for the ow league if/when it makes it there, going to just watch from furys perspective 99 percent of the time but be so good just floating around above sometimes or just doing it where you would stand if you where in the game. And mercy and roadhog should be interesting, valks still pretty decent imo but roadhogs going to be a welcome change, as an off tank only really play him junkertown or well and even then end up swapping back to dva straight away half the time. And hes such a throw the rest of the time, i dont mind flexing if we get a dva, or zarya giving she can work, but when its roadhog its just this tilting state where you dont want to main tank for them because the off tank is still crucial and they wont be doing that job but going double off tank with a road is sooo trash
Zodi	I'm 1000% gunna keep the camera on my philly boys
SirReasoner	lol symmetra buff gg
Sushi Sushi	MAKE A BATTLE ROYALE MODE PLEASE!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Xkore1	Buffs to Symmetra. Another pointless 2m primary fire range buff or will it be something that will actually fix her?
Anthony Bacilio Ruiz	The replay will take us to another level boss
Carson Jones	So I might've missed him saying this, but will the Overwatch World Cup Viewer be on console after the beta or will it always be exclusive to PC?
It's Raining Men	Stop revealing your skins days ahead of an event, maybe it'll help prolong ow's life.
Forest Skilbred	Woah, Symmetra and Reaper buffs I wasn't expecting. Cool.
Pedro Moraes	Omg this new feature looks rad.
Jonerico	So you can watch the world cup, you can watch esports inside the game! YET YOU CANT READ THE COMICS THAT ADD TO THE ACTUAL LORE TO YOUR GAME IN YOUR GAME! *NICE!!1!*     Symmetra buff, autoaim hoover again!!1!!1
Eric Buckner	Do a new character like a ant man like character
-WiLd3R- 99	This is too good
Danklord1986	Can't wait for the dinoflask version
Pedoro Santosu	Buffing Mercy for the 10millionth time. 👍
JustJaySama	Bring this feature to comp matches so I can watch my friends play comp
Matthew Phillips	Mercy? Buffs? What happened to the real Jeff?
pickachu soulreaver	What mercy getting a buff 😱 thats a surprise
PotatoHentai 69	All hail lord Kaplan
Genectro	This not jeff??
Maeve	useless dev update. okay.
sultan	Buff reaper= more powerful than he is now<< but why blizzard = because the overwatch league teams never play reaper. Blizzard (we want to balance the game and fuck you up. Rip tanks
pdiddy	bring back old tracer PepeHands
Snapped Back	GUYS did I hear it right? A BUFF for Mercy? No no no, that’s....that’s never happened before. Are we sure he didn’t mean nerf?
BattousaiHBr	so is this basically the dota2 spectator mode? always thought it was awesome.
THE BEST Lombax	I want tell something about figures! Could you make mega bloks figures like mega bloks Halo or Call of duty? They look way better than lego...
EmeraldGenerations	Reaper buff is great for Reaper mains, but everyone else is going to be really salty about it
I_ROCK_U	Overwatch world cup viewer *BBBBBRRRRREEEEEAAAATTTTTHHHHHEEEEESSSSS*
Dan Smith	We need a Omnic Talon tank.
Jack Ringel	This viewer sounds amazing! Any chance it'll ever be implemented into OWL?
Awley	I thought they were adding role select when they said they were adding a feature... I have been bamboozled.
Christian Drake	Can we just bring mercy back to pre-invulnerability mass Rez. I mean she would still be awful but they could bring valk down to like a four second flight on a 20 second CD.
EnderEmerald gaming	No nerf symettra shes op
I don't care, I'm playing widow	Did i just hear that !?  Buff ? For mercy !?  😱😱😱😂
Zachary Perkins	When this comes to the base game, it will be one of the best things ever added the game. New maps and heroes are awesome, but you can imagine the game without them. Other features are just so good you can't imagine the game without them. Arcade, lfg,  competitive s2. This will be one of them. Obviously not everyone would use it, but as an editor, this is amazing. I can go on and on. This is freaking awesome
Xurat0	0:11 "We're talking about Blizzcon-" I'm out.
Tiny Grass	*I can hear the forum cries already*
JSKyOto	I know this is kinda minor but am I the only one that kinda wants all the cinematics in their own menu like in Diablo??
Gaius Trollius	We need a nerf on brigitte's shield…and preferably also a removal of her self-healing ability.
snowykitten	A buff for mercy, wut
That gamer guy 101	My boi hog getting the buffs he deserves
Apollumix	Hoping for the best that mercy will be revived.
J GAMES 2004	I feel like genji needs a buff on his shurikans no?
randomguy26	dont care bout esports , dont care about replays , just give me maps , lore . new heroes that are not cancer , like everything you've added since anna
ITS YA BOI BESTEST BOY ON YOUTUBE	JEFF
The Drunkard Cat	New Hero... camera man
Gravity Angel	Mercy buff to Valkyrie? Can’t wait to see what it is
Morbinion	Talking about demos like it's a technological breakthrough. More maps? Remove maps! Scrap the entire 2CP mode with accompanying maps, remove head hitboxes for Widow and Hanzo, greatly reduce loss of control abilities and fix character ability bugs and inconsistencies. That's a start.
BawbTehBildhar	Mercy buff? IS THIS THE SAME OVERWATCH?!?
Hunter_G4E aggad	New hero New map New animated short IS ALL I NEED!!!
Savio Silveira	Yay! Symmetra is getting a buff! I hope it's more hp or improved primary fire
Marcos Echazú Diez	They should allow some streamers to comment the matches Live that would probably help grow the game viewers
neos faxim	BUFF MERCY!!!
Awesomebarth	Hi guys I'm Overwatch from the Jeff Team and here are some developer updates.  1. PC gets early access to all content always 2. We're nerfing every character besides Brigette 3. More social features that don't do anything to the game.
Silent Taked0wn	Took em only 2 years
sp00kio b00kio	Ok cool. But when do we get actual gameplay updates
Andres Contreras	Did he used the words buff and mercy on the same centence?
Killua Zoldyck	Okay so we got Buffs to Hog and Reaper and Mercy but     Still we are not gonna fix ranked? Aight well R.I.P. Overwatch 2016-2018
Angela Ziegler	YASSSS MERCY IS GETTING A BUUUFFFF
Gluttony Biscuits	BRING. BACK. MY. SOUL. ORBS. please. :'(  But make them vary depending on the health that the hero has on full HP
Caillen 2000	Blizzard:  😒🤚: Fix broken heroes like Brig  😏👉: Add a replay feature
Ryu-Ichimonji	This is awesome I hope the replay system gets to overwatch as soon as possible, god knows how many montage editing ideas this gave me
Matthew	Dying game.
Hideki _an	Reaper buff *WOKE*
Patricio Fernández	Well this sux, but at the same time is good news to know that they only care about the competitive side of the game. So is a good thing to not spect somthing good at Blizzcon, just some updates news and offcourse a new Hero and Cinematic. So for people that only play in a competitive way, this knowing this, is awesome. But for people that want more content, lore, history, modes and new ways to enjoy the game, its sux.
ForeverDegenerate	@PlayOverwatch  Thank you Daddy Jeff!  I thought I was imagining things when it felt like Reaper had gotten weaker after the Crit Detection Modification!  Which boggles my mind because that SHOULD have been a straight out buff to Reaper.  Tell me, what did the Crit Detection Modification break with Reaper?
The PinSir	Rip Jeff’s beard
joseph reis	Ok I hope I can start watching my own replays really soon bc I’m really ezcited
SuMadre ii	Literally dissapointed.
Delta Fawk2	that's amazing, this will be awesome!
kpopchop	Mercy...buff??? Thought I'd never hear the day! At last!! Well it's a start, I don't even play Mercy anymore and I'm excited for this. When are you gunna delete Brig Jeff?
Kbone Fiftyseven	Buff gengu
YouFoundMicheal	MERCY IS GETTING BUFFED HOORAY!
O.J. Joseph	Did he say *MERCY IS GETTING BUFFED* ? Nah you must be jokin
ZL Ling	Hi tech stuff, guys!
Pharaoh Horus	Ignore the roadhog flankers. They just want to flank and kill the whole team by themself even though he is a tank. Its bad enough it takes a lot of dmg to kill him because of his 50% less dmg while drinking his kool-aid. He isnt bad just not op.
Conner Elliott	Where is role queue?
p3ppermints	Hey pharag needs a nerf on console ONLY console
Jokerday	Here's the thing: there's a large group of OW players that actually couldn't care less about the whole e-sport/OWL stuff, including myself. I'm playing this game regularly for longer than any game ever by now starting when it released... but I honestly kinda feel like it's heading a wrong direction. What attracted so many players back then was the lore, the characters, the shorts, the whole charm of the game (of course including the gameplay) but NOT the e-sport scene. Where has all that gone? I really hope for a larger expansion to be announced soon. You know, with multiple new heroes, maps, skins, intros/emotes (why are there so few??) and some animated shorts that will finally push the story forward.
Jalal Basri	what are u doing man, save the game !
Rafael Nunes	Too late Jeff. Really good idea but the game is already dying.
Seb F	Pls no reaper buff, please please no
Lucky	Come on man , we want a new map thats not 2cp
Mykeyboy	Hey it's Jeff!!!
krisjan delos santos	nice buff for mercy but i think its about time to revert mercy
Jean Du Preez	MERCY’S GETTY A BUFF?!?!? THANK YOU JEFF FOR ACKNOWLEDGING MERCY’S STATE
Sliver Rocktail	Holy great balls of fire!! a BUFF for mercy!!! and it's not a nerf ! .this..is legendary! at best!.
funsohng	alchemister died for this
Moon	Mercy Buff? Somewhat need that but them buffs to Mercy is like really rare
Dusty	I’m only happy if you delete brig sombra and doom
too cool for school	MERCY IS GETTING A BUFF 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
Dylan JL	Revert mercy already. Her rework is a failure. Having mercys ultimate ability resurrect on a 30 second cooldown is not fun and not balanced.  Rework her with changes to her ultimate. Like LOS or a cast time, no invulnerability. Give her a skill shot ability so she has more utility like ana
Jafarson The Wise	Do you know that there are people who doesn't care about watching someone play? game is boring after 2 weeks you know? after 2 years game is still the same. What are you going to do about this? Maybe you copy some more features from TF2? for example alternate weapons and deep character customization? Make separate character levels and add some equipment to unlock, passive and active skill swap. Just do something new...
Ventrae	I wonder what a programming achievment this overwatch viewer was. Milions of people watching at the same time? With all the observer feartures and more? Replay system? Everything ingame? Blizzard programmers must be close to world elite...
Brandon Hernández	Stop buff symmetra!!
Barasingha	You know what would be really nice?  MORE. LORE.
Alex Goodman	I really hope these mercy buffs don’t make her meta. Ana or zen or any of the other supports are so much more skillful and better for the game.
Game Addict	Why do all DPS mains hate mercy so much, she never deserved all the nerfs, it's literally just because of all the DPS complaining about GOOD mercy mains.
The Donny Life	Skip to 4:30 if you don’t have pc
doobie	Replay system is gonna be a thing, i just saved you 8 min :D
Matthew Sadlier	I know I speak for everyone when I say, we need a New York map.
DevilGearHill	Anything major ? More then just skins and a hero once ever half a year ? Maybe basic ability variations for existing characters ? Like what was introduced in the last Smash Bros ? No ? Okay... Too bad I can't get a refund anymore...
Kizzon	A reaper BUFF !?
A Frisky Gamer	So hyped to hear about Reaper buffs
Ethan Mayers	Hey guys ali a hear from The fortnite team
Luke Hickey	Halo has always had this replay feature. Really cool seeing it come to Overwatch! Thanks Overwatch team!
1w1llcutyou	OHHHHH SHIEEETTT this spectator thing is gonna be cool asf
Jonathan Ponce	GIVE MERCY BACK HER HEALING WTF
Fodimin Layton	Finally some love for my man Reaper.
Morgan Tan	It's sad to know that Fortnite came out with a replay system earlier than you guys did.
Zoko Rion	If u like making reaper and hogs guns like have more damage when u shoot that would be awesome
mike	Yes! It's  about time mercy got treated right
Jeff Kaplan	Oh look it’s me
AwesomeGenius24 YouTube	OMG mercy is getting buffed, finally jeff
MediArgentum	Finally adding the SourceTV demo recording feature?
Skauroki	No junkrat changes ? NOT Interested
Mystery Man	OWL sucks. Siege pro is better.
Acean HUN	Chant wait for stylosa to repeat this video for 20 minutes and loseing it midway trough and drink some tea
adderix	i think i just jizzed all over my floor
AntoineM	This a great update ! Hope To use it to analyse my own games ! This option will allow many players to improve their level !  Gg !
Nexius	Still holding out hope for the option to play the overwatch story events and unlock event items outside of their respective event windows. 😒
ShamanKing Jr	Allow roadhog to reload his gun  if you hook someone
Shumpburu YT	It'd be nice if we got some input on mercy instead of things like this. Let's get Mercy out of the dirt for once
Buff Me Please	Can I please get a Happy Birthday from Jeff today?
m00ter	wait, buffing mercy? what timeline did i jump into
Lucas Ben	is this also gonna be for overwatch league?
Alexander Swinney	A buff for mercy? Guess there's a first time for everything.
sofia :D	daddy jeff
Jacint Malonzo	bring back hook 1.0  i miss those floor is jello hooks
itsDJ	where my roadhog mains at!
537CH	THIS. IS. BRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRILLIANT!!!!
Puta DelRey	<3 <3
Marine LPSTV	Please dont ruin mercy again Papa Jeff! Please she needs more increase with her healing.
Quniverse	World cup viewer is about to get mad widow booty.
Nappa Carl	Mercy buff? Yes, yes that sounds nice.
lemonkat._. 13	Jesus Kaplan
Wade Bate	If the reply does become a thing, you’ll have game proof of hackers and trolls as you can watch from their perspective! Plus the fact that you have video proof of players being toxic built in to the game should make getting rid of these players that much easier
Azazel	Blizzard stop buff characters and start nerf broken op heroes like Brigitte. Why noskill characters are strong?! Moira, Brigg,Junkrat should be removed!!!!!
Emergency Jergens	DAMMIT ENOUGH WITH ESPORT UPDATES
Bucket of Gondor	NERF BAGGET
Kristian Younes	POGGERS
Christian Vermeer	*Mercy gets nerfed*, mercy mains complain *Any other hero than mercy gets buffed*, mercy mains complain *Mercy gets buffed*, mercy mains complain
HiddenRevs	This will be huge for analysis
Raven	you can see jeff sweating as he talks about mercy buffs
The Outhouse Studios	Why is everyone hating on blizzcon and the world cup? They're awesome
Benevxlent	Does no one notice that jeff's shirt is on backwards?
Miguel the musician Torres	Valkyrie buff!!!!!
Bárbara R	give Mercy her heals back lol I dont care if you delete rez, she is the only hero that cannot atack asap and her only job is to heal, and now she cant even do that lol Anything. Anything, kills my teanmates lol
Olaf Dilios	OHHHHH MY GOD I LOVE YOU OW TEAM, this is such a big deal for learing finally i get a flex support cam
Soaringg	Symmetra buff? are you serious?
Pedro Santos	DANKS JEFF
Forasquem	So no maps, this means there is a new hero coming ?
austin russell	6:23 how many people had to be fired for this to happen
FlixX	no map im mad
Lourapa Gaming	I love the Blizzcon and thx you PAPA Jeff 😉
TheRenegadeStarr	They want us to care about OW League so much. And I honestly don’t think most of the OW audience doesnt care. New maps, new game modes, hero’s, and shorts.
IDK 700	2:42 oh no Jeff...
Nick Mattingly	Jeff sprays plz
Tom 12345	This is unexpected....
Kylar Reger	Symetras turrets need degree don’t like how they can be flung across map and how much damage they do while she isn’t put into danger for them
victoria thomas	All changes that don't effect me. great
N1njaman3 !	He never denied us getting a new hero #hero29confirmed
